epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.757,3.13252,4.07684,3.75702,0.00241,0.70263,0.00835,0.0021,2.92726,4.49662,3.28263,0.000664622,0.000664622,0.000664622
2,79.3148,2.72362,3.58465,3.09061,0.00259,0.75395,0.01312,0.00322,2.65633,3.60725,3.01964,0.00131811,0.00131811,0.00131811
3,114.375,2.5463,3.35373,2.86113,0.10964,0.03026,0.01922,0.00595,2.71337,3.68235,3.06792,0.0019584,0.0019584,0.0019584
4,149.353,2.3862,3.21725,2.70699,0.14762,0.07632,0.04495,0.01292,2.54586,3.25847,2.85373,0.0019406,0.0019406,0.0019406
5,184.363,2.30221,3.10396,2.60478,0.11647,0.06711,0.03749,0.00992,2.67722,3.33243,2.96163,0.0019208,0.0019208,0.0019208
6,219.372,2.23515,2.97263,2.52479,0.12611,0.17105,0.06374,0.0198,2.39267,3.06163,2.7347,0.001901,0.001901,0.001901
7,254.34,2.18244,2.83577,2.45677,0.14221,0.15526,0.07619,0.02261,2.41251,3.11205,2.75822,0.0018812,0.0018812,0.0018812
8,289.365,2.12073,2.70942,2.40733,0.20232,0.25921,0.12365,0.04127,2.27837,2.75793,2.65168,0.0018614,0.0018614,0.0018614
9,324.287,2.05573,2.57828,2.35643,0.27419,0.25658,0.20427,0.06709,2.2658,2.54608,2.64548,0.0018416,0.0018416,0.0018416
10,359.171,2.02426,2.5321,2.30785,0.31517,0.30132,0.22472,0.07546,2.23191,2.48392,2.55688,0.0018218,0.0018218,0.0018218
11,394.112,2.00556,2.43411,2.29262,0.37435,0.35658,0.30534,0.11027,2.23464,2.48156,2.59292,0.001802,0.001802,0.001802
12,429.108,1.96693,2.36594,2.25836,0.34021,0.33787,0.25646,0.09762,2.15375,2.46508,2.50588,0.0017822,0.0017822,0.0017822
